	classified_sentiment
1045	3.0
1046	3.0
1047	3.0
1048	3.0
1049	3.0
1050	0.0
1051	3.0
1052	3.0
1053	3.0
1054	3.0
1055	3.0
1056	3.0
1057	3.0
1058	3.0
1059	3.0
1060	2.0
1061	3.0
1062	4.0
1063	2.0
1064	3.0
1065	3.0
1066	3.0
1067	2.0
1068	1.0
1069	1.0
1070	3.0
1071	2.0
1072	1.0
1073	1.0
1074	1.0
1075	0.0
1076	1.0
1077	1.0
1078	2.0
1079	1.0
1080	1.0
1081	0.0
1082	2.0
1083	1.0
1084	2.0
1085	2.0
1086	2.0
1087	2.0
1088	0.0
1089	1.0
1090	1.0
1091	1.0
1092	1.0
1093	0.0
1094	1.0
1095	0.0
1096	0.0
1097	1.0
1098	3.0
1099	1.0
1100	0.0
1101	0.0
1102	0.0
1103	1.0
1104	1.0
1105	0.0
1106	1.0
1107	0.0
1108	1.0
1109	1.0
1110	1.0
1111	2.0
1112	0.0
1113	1.0
1114	1.0
1115	1.0
1116	0.0
1117	0.0
1118	2.0
1119	1.0
1120	1.0
1121	0.0
1122	0.0
1123	0.0
1124	0.0
1125	1.0
1126	2.0
1127	3.0
1128	3.0
1129	1.0
1130	1.0
1131	0.0
1132	3.0
1133	1.0
1134	0.0
1135	0.0
1136	2.0
1137	1.0
1138	2.0
1139	0.0
1140	3.0
1141	1.0
1142	1.0
1143	1.0
1144	0.0
1145	0.0
1146	1.0
1147	0.0
1148	3.0
1149	2.0
1150	1.0
1151	2.0
1152	1.0
1153	1.0
1154	1.0
1155	1.0
1156	0.0
1157	0.0
1158	2.0
1159	2.0
1160	1.0
1161	1.0
1162	1.0
1163	3.0
1164	2.0
1165	1.0
1166	1.0
1167	1.0
1168	0.0
1169	1.0
1170	0.0
1171	2.0
1172	1.0
1173	0.0
1174	3.0
1175	1.0
1176	3.0
1177	0.0
1178	1.0
1179	3.0
1180	3.0
1181	1.0
1182	1.0
1183	1.0
1184	1.0
1185	1.0
1186	1.0
1187	2.0
1188	1.0
1189	1.0
1190	1.0
1191	1.0
1192	1.0
1193	1.0
1194	1.0
1195	0.0
1196	1.0
1197	1.0
1198	1.0
1199	2.0
1200	3.0
1201	2.0
1202	0.0
1203	1.0
1204	0.0
1205	0.0
1206	0.0
1207	1.0
1208	0.0
1209	1.0
1210	1.0
1211	1.0
1212	1.0
1213	3.0
1214	0.0
1215	1.0
1216	1.0
1217	1.0
1218	2.0
1219	3.0
1220	1.0
1221	0.0
1222	1.0
1223	1.0
1224	1.0
1225	1.0
1226	1.0
1227	1.0
1228	0.0
1229	3.0
1230	1.0
1231	1.0
1232	1.0
1233	1.0
1234	1.0
1235	0.0
1236	1.0
1237	0.0
1238	1.0
1239	2.0
1240	2.0
1241	1.0
1242	0.0
1243	1.0
1244	1.0
1245	1.0
1246	2.0
1247	0.0
1248	1.0
1249	1.0
1250	0.0
1251	0.0
1252	1.0
1253	0.0
1254	3.0
1255	1.0
1256	1.0
1257	0.0
1258	0.0
1259	0.0
1260	1.0
1261	1.0
1262	1.0
1263	3.0
1264	1.0
1265	1.0
1266	1.0
1267	1.0
1268	0.0
1269	1.0
1270	0.0
1271	0.0
1272	0.0
1273	0.0
1274	1.0
1275	1.0
1276	1.0
1277	1.0
1278	1.0
1279	1.0
1280	2.0
1281	0.0
1282	2.0
1283	0.0
1284	1.0
1285	4.0
1286	1.0
1287	1.0
1288	1.0
1289	1.0
1290	1.0
1291	1.0
1292	1.0
1293	0.0
1294	0.0
1295	1.0
1296	1.0
1297	0.0
1298	3.0
1299	1.0
1300	2.0
1301	1.0
1302	1.0
1303	0.0
1304	0.0
1305	1.0
1306	0.0
1307	1.0
1308	1.0
1309	1.0
1310	1.0
1311	1.0
1312	1.0
1313	1.0
1314	0.0
1315	1.0
1316	1.0
1317	2.0
1318	1.0
1319	1.0
1320	1.0
1321	1.0
1322	3.0
1323	2.0
1324	1.0
1325	1.0
1326	1.0
1327	0.0
1328	3.0
1329	2.0
1330	1.0
1331	1.0
1332	1.0
1333	1.0
1334	0.0
1335	1.0
1336	1.0
1337	1.0
1338	1.0
1339	1.0
1340	3.0
1341	1.0
1342	1.0
1343	1.0
1344	1.0
1345	0.0
1346	0.0
1347	1.0
1348	1.0
1349	0.0
1350	2.0
1351	1.0
1352	1.0
1353	1.0
1354	0.0
1355	0.0
1356	0.0
1357	3.0
1358	1.0
1359	0.0
1360	2.0
1361	1.0
1362	1.0
1363	1.0
1364	0.0
1365	1.0
1366	1.0
1367	0.0
1368	0.0
1369	3.0
1370	1.0
1371	0.0
1372	1.0
1373	0.0
1374	1.0
1375	0.0
1376	1.0
1377	1.0
1378	1.0
1379	1.0
1380	0.0
1381	1.0
1382	1.0
1383	2.0
1384	1.0
1385	1.0
1386	1.0
1387	1.0
1388	2.0
1389	1.0
1390	1.0
1391	1.0
1392	0.0
1393	1.0
1394	1.0
1395	0.0
1396	1.0
1397	1.0
1398	1.0
1399	0.0
1400	1.0
1401	1.0
1402	1.0
1403	1.0
1404	3.0
1405	0.0
1406	1.0
1407	1.0
1408	1.0
1409	0.0
1410	0.0
1411	2.0
1412	1.0
1413	2.0
1414	1.0
1415	0.0
1416	1.0
1417	2.0
1418	1.0
1419	0.0
1420	0.0
1421	2.0
1422	1.0
1423	3.0
1424	1.0
1425	1.0
1426	1.0
1427	1.0
1428	1.0
1429	1.0
1430	2.0
1431	1.0
1432	2.0
1433	0.0
1434	3.0
1435	3.0
1436	1.0
1437	0.0
1438	1.0
1439	1.0
1440	1.0
1441	1.0
1442	0.0
1443	3.0
1444	1.0
1445	1.0
1446	1.0
1447	1.0
1448	1.0
1449	0.0
1450	0.0
1451	1.0
1452	1.0
1453	1.0
1454	0.0
1455	1.0
1456	1.0
1457	1.0
1458	1.0
1459	1.0
1460	2.0
1461	3.0
1462	2.0
1463	1.0
1464	1.0
1465	3.0
1466	1.0
1467	4.0
1468	1.0
1469	1.0
1470	1.0
1471	1.0
1472	3.0
1473	1.0
1474	1.0
1475	0.0
1476	1.0
1477	1.0
1478	1.0
1479	1.0
1480	1.0
1481	1.0
1482	2.0
1483	1.0
1484	1.0
1485	1.0
1486	1.0
1487	1.0
1488	1.0
1489	1.0
1490	2.0
1491	1.0
1492	1.0
1493	1.0
1494	1.0
1495	1.0
1496	1.0
1497	1.0
1498	1.0
1499	1.0
1500	1.0
1501	1.0
1502	1.0
1503	0.0
1504	0.0
1505	1.0
1506	1.0
1507	1.0
1508	1.0
1509	1.0
1510	2.0
1511	1.0
1512	2.0
1513	3.0
1514	0.0
1515	1.0
1516	1.0
1517	1.0
1518	1.0
1519	1.0
1520	1.0
1521	1.0
1522	2.0
1523	0.0
1524	1.0
1525	1.0
1526	1.0
1527	0.0
1528	1.0
1529	0.0
1530	1.0
1531	2.0
1532	2.0
1533	1.0
1534	1.0
1535	0.0
1536	1.0
1537	1.0
1538	2.0
1539	1.0
1540	1.0
1541	1.0
1542	0.0
1543	1.0
1544	1.0
1545	1.0
1546	1.0
1547	1.0
1548	1.0
1549	0.0
1550	1.0
1551	1.0
1552	1.0
1553	1.0
1554	1.0
1555	2.0
1556	1.0
1557	0.0
1558	1.0
1559	1.0
1560	0.0
1561	3.0
1562	0.0
1563	1.0
1564	1.0
1565	1.0
1566	1.0
1567	1.0
1568	0.0
1569	1.0
1570	0.0
1571	0.0
1572	1.0
1573	0.0
1574	0.0
1575	0.0
1576	1.0
1577	4.0
1578	1.0
1579	0.0
1580	1.0
1581	1.0
1582	1.0
1583	1.0
1584	1.0
1585	1.0
1586	1.0
1587	1.0
1588	1.0
1589	1.0
1590	1.0
1591	1.0
1592	1.0
1593	1.0
1594	0.0
1595	0.0
1596	0.0
1597	1.0
1598	1.0
1599	1.0
1600	1.0
1601	1.0
1602	1.0
1603	1.0
1604	1.0
1605	0.0
1606	3.0
1607	1.0
1608	1.0
1609	1.0
1610	1.0
1611	1.0
1612	0.0
1613	3.0
1614	1.0
1615	1.0
1616	2.0
1617	1.0
1618	1.0
1619	1.0
1620	0.0
1621	1.0
1622	3.0
1623	1.0
1624	1.0
1625	0.0
1626	2.0
1627	0.0
1628	1.0
1629	1.0
1630	3.0
1631	1.0
1632	1.0
1633	2.0
1634	2.0
1635	1.0
1636	1.0
1637	1.0
1638	1.0
1639	1.0
1640	1.0
1641	1.0
1642	3.0
1643	1.0
1644	1.0
1645	0.0
1646	0.0
1647	1.0
1648	1.0
1649	1.0
1650	1.0
1651	1.0
1652	0.0
1653	1.0
1654	0.0
1655	1.0
1656	1.0
1657	1.0
1658	0.0
1659	0.0
1660	1.0
1661	1.0
1662	1.0
1663	0.0
1664	3.0
1665	1.0
1666	1.0
1667	2.0
1668	1.0
1669	2.0
1670	2.0
1671	2.0
1672	1.0
1673	2.0
1674	1.0
1675	1.0
1676	1.0
1677	0.0
1678	1.0
1679	2.0
1680	2.0
1681	1.0
1682	1.0
1683	1.0
1684	0.0
1685	1.0
1686	1.0
1687	3.0
1688	1.0
1689	2.0
1690	0.0
1691	0.0
1692	0.0
1693	1.0
1694	1.0
1695	3.0
1696	1.0
1697	1.0
1698	1.0
1699	0.0
1700	1.0
1701	1.0
1702	0.0
1703	0.0
1704	0.0
1705	1.0
1706	1.0
1707	1.0
1708	1.0
1709	2.0
1710	2.0
1711	2.0
1712	1.0
1713	1.0
1714	3.0
1715	1.0
1716	1.0
1717	1.0
1718	0.0
1719	1.0
1720	1.0
1721	0.0
1722	1.0
1723	0.0
1724	1.0
1725	2.0
1726	1.0
1727	1.0
1728	1.0
1729	1.0
1730	1.0
1731	1.0
1732	1.0
1733	1.0
1734	2.0
1735	2.0
1736	0.0
1737	1.0
1738	1.0
1739	1.0
1740	1.0
1741	1.0
1742	0.0
1743	1.0
1744	3.0
1745	1.0
1746	0.0
1747	1.0
1748	0.0
1749	3.0
1750	1.0
1751	1.0
1752	2.0
1753	0.0
1754	1.0
1755	1.0
1756	1.0
1757	0.0
1758	1.0
1759	3.0
1760	1.0
1761	3.0
1762	1.0
1763	1.0
1764	1.0
1765	3.0
1766	1.0
1767	2.0
1768	0.0
1769	0.0
1770	2.0
1771	0.0
1772	3.0
1773	1.0
1774	1.0
1775	2.0
1776	1.0
1777	3.0
1778	1.0
1779	4.0
1780	0.0
1781	1.0
1782	1.0
1783	1.0
1784	1.0
1785	1.0
1786	0.0
1787	3.0
1788	1.0
1789	1.0
1790	1.0
1791	1.0
1792	1.0
1793	2.0
1794	1.0
1795	1.0
1796	1.0
1797	1.0
1798	1.0
1799	1.0
1800	0.0
1801	1.0
1802	0.0
1803	1.0
1804	1.0
1805	1.0
1806	1.0
1807	1.0
1808	1.0
1809	1.0
1810	1.0
1811	2.0
1812	3.0
1813	2.0
1814	1.0
1815	0.0
1816	2.0
1817	1.0
1818	2.0
1819	2.0
1820	1.0
1821	2.0
1822	1.0
1823	0.0
1824	0.0
1825	0.0
1826	1.0
1827	0.0
1828	1.0
1829	1.0
1830	1.0
1831	0.0
1832	1.0
1833	1.0
1834	1.0
1835	1.0
1836	3.0
1837	1.0
1838	3.0
1839	1.0
1840	1.0
1841	0.0
1842	0.0
1843	1.0
1844	0.0
1845	1.0
1846	1.0
1847	1.0
1848	2.0
1849	0.0
1850	2.0
1851	0.0
1852	0.0
1853	0.0
1854	1.0
1855	1.0
1856	1.0
1857	1.0
1858	2.0
1859	3.0
1860	1.0
1861	1.0
1862	0.0
1863	1.0
1864	0.0
1865	1.0
1866	0.0
1867	1.0
1868	1.0
1869	1.0
1870	0.0
1871	2.0
1872	1.0
1873	0.0
1874	0.0
1875	1.0
1876	1.0
1877	3.0
1878	2.0
1879	1.0
1880	1.0
1881	2.0
1882	1.0
1883	2.0
1884	0.0
1885	1.0
1886	1.0
1887	1.0
1888	2.0
1889	0.0
1890	0.0
1891	1.0
1892	1.0
1893	1.0
1894	0.0
1895	1.0
1896	1.0
1897	1.0
1898	1.0
1899	0.0
1900	1.0
1901	1.0
1902	0.0
1903	3.0
1904	1.0
1905	1.0
1906	1.0
1907	1.0
1908	1.0
1909	1.0
1910	0.0
1911	3.0
1912	1.0
1913	1.0
1914	2.0
1915	1.0
1916	1.0
1917	1.0
1918	1.0
1919	0.0
1920	0.0
1921	1.0
1922	2.0
1923	1.0
1924	0.0
1925	1.0
1926	0.0
1927	3.0
1928	1.0
1929	1.0
1930	2.0
1931	0.0
1932	1.0
1933	1.0
1934	1.0
1935	1.0
1936	3.0
1937	4.0
1938	1.0
1939	1.0
1940	1.0
1941	1.0
1942	1.0
1943	1.0
1944	2.0
1945	1.0
1946	1.0
1947	1.0
1948	0.0
1949	1.0
1950	1.0
1951	1.0
1952	3.0
1953	1.0
1954	2.0
1955	1.0
1956	1.0
1957	1.0
1958	0.0
1959	1.0
1960	1.0
1961	1.0
1962	1.0
1963	1.0
1964	2.0
1965	1.0
1966	1.0
1967	2.0
1968	1.0
1969	1.0
1970	1.0
1971	1.0
1972	1.0
1973	1.0
1974	1.0
1975	1.0
1976	1.0
1977	0.0
1978	1.0
1979	0.0
1980	3.0
1981	1.0
1982	1.0
1983	1.0
1984	1.0
1985	1.0
1986	0.0
1987	1.0
1988	1.0
1989	2.0
1990	1.0
1991	1.0
1992	1.0
1993	1.0
1994	1.0
1995	1.0
1996	1.0
1997	1.0
1998	0.0
1999	0.0
2000	1.0
2001	1.0
2002	1.0
2003	1.0
2004	3.0
2005	0.0
2006	1.0
2007	1.0
2008	0.0
2009	3.0
2010	1.0
2011	2.0
2012	1.0
2013	1.0
2014	1.0
2015	1.0
2016	1.0
2017	2.0
2018	4.0
2019	3.0
2020	0.0
2021	1.0
2022	0.0
2023	2.0
2024	0.0
2025	0.0
2026	1.0
2027	2.0
2028	0.0
2029	1.0
2030	1.0
2031	1.0
2032	1.0
2033	1.0
2034	1.0
2035	3.0
2036	1.0
2037	1.0
2038	1.0
2039	2.0
2040	1.0
2041	1.0
2042	1.0
2043	1.0
2044	1.0
2045	1.0
2046	1.0
2047	1.0
2048	2.0
2049	1.0
2050	1.0
2051	1.0
2052	1.0
2053	0.0
2054	0.0
2055	0.0
2056	1.0
2057	0.0
2058	1.0
2059	3.0
2060	1.0
2061	1.0
2062	1.0
2063	1.0
2064	1.0
2065	2.0
2066	1.0
2067	0.0
2068	1.0
2069	1.0
2070	1.0
2071	1.0
2072	3.0
2073	1.0
2074	0.0
2075	1.0
2076	1.0
2077	1.0
2078	1.0
2079	1.0
2080	0.0
2081	1.0
2082	1.0
2083	2.0
2084	1.0
2085	0.0
2086	0.0
2087	1.0
2088	1.0
2089	1.0
2090	1.0
2091	1.0
2092	1.0
2093	1.0
2094	3.0
2095	0.0
2096	1.0
2097	1.0
2098	1.0
2099	2.0
2100	2.0
2101	1.0
2102	1.0
2103	1.0
2104	1.0
2105	0.0
2106	1.0
2107	2.0
2108	0.0
2109	1.0
2110	0.0
2111	0.0
2112	0.0
2113	1.0
2114	1.0
2115	1.0
2116	1.0
2117	1.0
2118	1.0
2119	0.0
2120	1.0
2121	1.0
2122	1.0
2123	0.0
2124	1.0
2125	1.0
2126	1.0
2127	0.0
2128	1.0
2129	1.0
2130	0.0
2131	2.0
2132	1.0
2133	1.0
2134	3.0
2135	1.0
2136	0.0
2137	1.0
2138	0.0
2139	0.0
